,name,summary,image,origin,publication_types,founded,parent_comp,hq,website,AuthorConnections,BookConnections,id
125,Deseret Book Company,"The Cresset Press was a publishing company in London, England, active as an independent press from 1927 for 40 years,[1] and initially specializing in ""expensively illustrated limited editions of classical works, like Milton's Paradise Lost""[2] going on to produce well-designed trade editions of literary and political works.  Among the leading illustrators commissioned by Cresset were Blair Hughes-Stanton and Gertrude Hermes — The Pilgrim's Progress (1928), The Apocrypha (1929), and D. H. Lawrence's Birds, Beasts and Flowers (1930). Cresset subsequently became part of the Barrie Group of publishers, and later an imprint of the Ebury Press within the Random House Group.
",https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Deseret_Book_2010_logo.svg/250px-Deseret_Book_2010_logo.svg.png,United States,"Books, art, teaching aids",1866,Deseret Management Corporation,Salt Lake City,DeseretBook.com,,,125
126,Disney Publishing Worldwide,"Crocker & Brewster (1818–1876) was a leading publishing house in Boston, Massachusetts, during its 58-year existence. The business was located at today's 173–175 Washington Street for nearly half a century; in 1864 it moved to the adjoining building, where it remained until the firm's dissolution.
",https://upload.wikimedia.org/wikipedia/en/thumb/0/0b/Disney_Publishing_Worldwide_logo.svg/220px-Disney_Publishing_Worldwide_logo.svg.png,Unknown,Unknown,"May 23, 1991; 30 years ago (1991-05-23)",Unkown,Unknown,Not available,,,126
127,DK,"The Crown Publishing Group is a subsidiary of Penguin Random House that publishes across several categories including fiction, non-fiction, biography, autobiography and memoir, cooking, health, business, and lifestyle. Its imprints include Crown, Crown Archetype, Crown Business, Crown Forum, Hogarth, Three Rivers Press, Clarkson Potter, Potter Craft, Potter Style, Broadway Books, Broadway Paperbacks, Image (formerly Doubleday Religion),[1] WaterBrook/Multnomah, Harmony Books, Rodale Books, Watson-Guptill, Amphoto Books, and Ten Speed Press. Formerly, the company also used the Bell Tower Press, Orion Books (unconnected to Orion Publishing in the United Kingdom), and related imprints and subsidiaries, such as Gramercy Publishing Company. However, these have now either been discontinued or transferred to other Random House units.
",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/DK_%282020%29.svg/150px-DK_%282020%29.svg.png,United Kingdom,Unknown,London,Penguin Random House,[1],www.dk.com,,,127
128,"Dodd, Mead & Co.","
",https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Dodd%2C_Mead_%26_Co._Logo.png/120px-Dodd%2C_Mead_%26_Co._Logo.png,United States,Books,1839 (1839),Unkown,New York City,Not available,,,128
129,Dorchester Publishing,"D. Appleton & Company was an American publishing company founded by Daniel Appleton, who opened a general store which included books. He published his first book in 1831. The company's publications gradually extended over the entire field of literature. It issued the works of contemporary scientists at moderate prices, for example, Herbert Spencer, John Tyndall, Thomas Huxley, Charles Darwin, etc. Medical books formed a special department, and books in the Spanish language for the South American market were a specialty which the firm made its own. In belles lettres and American history, it had a strong list of names among its authors.[2]
",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Dorchester_publishing.png/150px-Dorchester_publishing.png,United States,"Books, magazines",1971; 50 years ago (1971),Unkown,"200 Madison Avenue, Suite 2000New York City 10016",dorchesterpub.com,,,129
130,Doubleday,"D. Reidel was an academic publishing company based in Dordrecht established in the 1960s which was independent until the 1990s.[when?]
",https://upload.wikimedia.org/wikipedia/en/thumb/f/fe/Doubleday_Publishing.png/220px-Doubleday_Publishing.png,United States,Books,1897; 124 years ago (1897),Penguin Random House,New York City,knopfdoubleday.com/imprint/doubleday/,"38,67,105","145,152,195,358",130
131,Douglas & McIntyre,"Da Capo Press is an American publishing company with headquarters in Boston, Massachusetts. It is now an imprint of Hachette Books.
",-1,Canada,Books,1971,Unkown,Vancouver,www.douglas-mcintyre.com,,,131
132,Dove Medical Press,"
",https://upload.wikimedia.org/wikipedia/en/thumb/7/7c/Dove_Medical_Press.jpg/200px-Dove_Medical_Press.jpg,United Kingdom,Unknown,2003,Unkown,Macclesfield,www.dovepress.com,,,132
133,Dover Publications,"Dalkey Archive Press is a publisher of fiction, poetry, and literary criticism specializing in the publication or republication of lesser-known, often avant-garde works.  The company has offices in Funks Grove, Illinois, in Dublin, and in London. The publisher is named for the novel The Dalkey Archive, by the Irish author Flann O'Brien.
",-1,United States,Books,1941; 80 years ago (1941),LSC Communications,"Mineola, New York",www.doverpublications.com,5,4,133
134,Dreamspinner Press,"
",-1,United States,Books,2007,Unkown,"Tallahassee, Florida",www.dreamspinnerpress.com,,,134
135,Dundurn Press,"DAW Books is an American science fiction and fantasy publisher, founded by Donald A. Wollheim, along with his wife, Elsie B. Wollheim,[1] following his departure from Ace Books in 1971. The company claims to be ""the first publishing company ever devoted exclusively to science fiction and fantasy.""[2] The first DAW Book published was the 1972 short story collection Spell of the Witch World by Andre Norton.[3]
",https://upload.wikimedia.org/wikipedia/en/thumb/f/fb/Dundurn_logo.png/160px-Dundurn_logo.png,Canada,Unknown,1972,Unkown,Toronto,www.dundurn.com,,,135
136,E. P. Dutton,"
",https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Epdutton.png/220px-Epdutton.png,United States,Books,"Boston, Massachusetts",Penguin Group,New York City,penguin.com,,,136
137,Earthscan,"Del Rey Books is a branch of Ballantine Books, which is owned by Random House and, in turn, by Penguin Random House.  It is a separate imprint established in 1977 under the editorship of author Lester del Rey and his wife Judy-Lynn del Rey.  It specializes in science fiction and fantasy books, and formerly manga under its (now defunct) Del Rey Manga imprint.
",-1,United Kingdom,Books,1982,Routledge,Unknown,www.routledge.com/sustainability/,,,137
138,ECW Press,"
",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/ECW_Press.jpg/200px-ECW_Press.jpg,Canada,Books,1974,Unkown,Toronto,www.ecwpress.com,,,138
139,Eel Pie Publishing,"Dell Publishing is an American publisher of books, magazines and comic books, that was founded in 1921 by George T. Delacorte Jr. with $10,000 (approx. $145,000 in 2021), two employees and one magazine title, I Confess, and soon began turning out dozens of pulp magazines, which included penny-a-word detective stories, articles about films, and romance books (or ""smoochies"" as they were known in the slang of the day).
",-1,Unknown,Unknown,1970,Unkown,Unknown,Not available,,,139
140,Ellora's Cave,"
",-1,United States,E-books,2000,Unkown,"Akron, Ohio",www.jasminejade.com,,,140
141,Emerald Group Publishing,"Directmedia Publishing is a German publishing house created in January 1995 by Ralf Szymanski and Erwin Jurschitza as a publisher of digital media. The emphasis of the publishing house's content lies within the field of digital libraries, particularly scientific collections of texts, and encyclopaedias. 
",-1,United Kingdom,Academic journals,1967,Unkown,Bingley,www.emeraldgrouppublishing.com,,,141
142,Etruscan Press,"Disney Publishing Worldwide (DPW), formerly known as The Disney Publishing Group and Buena Vista Publishing Group, is the publishing subsidiary of Disney Parks, Experiences and Products, a subsidiary of The Walt Disney Company.[1] Its imprints include Disney Editions, Disney Press,[2] Kingswell,[3] Freeform, and Hyperion Books for Children.[4] It has creative centers in Glendale, California, and in Milan, Italy.[2]
",-1,United States,Books,2001,Unkown,"Wilkes-Barre, PA",www.etruscanpress.org,,,142
143,Everyman's Library,"Dorling Kindersley Limited (branded as DK) is a British multinational publishing company specialising in illustrated reference books for adults and children in 63 languages.[2] 
It is part of Penguin Random House, a subsidiary of German media conglomerate Bertelsmann.
Established in 1974, DK publishes a range of titles in genres including travel (including DK Eyewitness travel), history, science, nature, sport, gardening, cookery and parenting.  
The worldwide CEO of DK is Carsten Coesfeld.[3] DK has offices in New York, Melbourne, London, Munich, New Delhi, Toronto, Madrid, Beijing and Jiangmen.
DK works with licensing partners such as Disney, LEGO, DC Comics, the Royal Horticultural Society, MasterChef, and the Smithsonian Institution. 
DK has commissioned Mary Berry, Monty Don, Robert Winston, Huw Richards and Steve Mould for a range of books.
",https://upload.wikimedia.org/wikipedia/en/0/09/Everymans_Library_logo.png,United Kingdom,Books,1906,Random House,"New York City, United States",www.randomhouse.com/knopf/classics/,86,307,143
144,Ewha Womans University Press,"DNA Publications was an American publishing company that existed from 1993 to 2007 and was run by the husband-and-wife team of Warren Lapine and Angela Kessler. Initially based in Massachusetts, DNA Publications relocated to Radford, Virginia.[when?] As of 2004, it was the second-largest genre magazine publisher in the United States.[1] Its first publication, in 1993, was the magazine Harsh Mistress, which Lapine produced in collaboration with Kevin Rogers and Tim Ballon.[citation needed]
",https://upload.wikimedia.org/wikipedia/en/thumb/5/5e/Ewha_University_Press_logo.gif/190px-Ewha_University_Press_logo.gif,South Korea,Unknown,1949,Ewha Womans University,Seoul,EUP official website (in Korean),,,144
145,Express Publishing,"Dennis Dobson (1919 – 1978)[1] was a British book publisher who was the eponymous founder of a small but respected company in London.
",https://upload.wikimedia.org/wikipedia/en/thumb/b/b6/Express_Publishing_Logo.png/200px-Express_Publishing_Logo.png,Unknown,Unknown,Unknown,Unkown,Unknown,Not available,,,145
146,Faber and Faber,"
",https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Faber_and_Faber_logo.jpg/100px-Faber_and_Faber_logo.jpg,United Kingdom,Books,1929; 92 years ago (1929),Unkown,"London, England",faber.co.uk,,,146
147,FabJob,"
",-1,Unknown,Unknown,Unknown,Unkown,Unknown,Not available,,,147
148,Fairview Press,"Doubleday is an American publishing company. It was founded as the Doubleday & McClure Company in 1897 and was the largest in the United States by 1947. It published the work of mostly U.S. authors under a number of imprints and distributed them through its own stores. In 2009 Doubleday merged with Knopf Publishing Group to form the Knopf Doubleday Publishing Group, which is now part of Penguin Random House. In 2019, the official website presents Doubleday as an imprint, not a publisher.
",-1,United States,Books,1989,Fairview Health Services,"Minneapolis, Minnesota",Not available,,,148
149,Fantagraphics Books,"
",https://upload.wikimedia.org/wikipedia/en/thumb/8/82/Fantagraphics_logo_2020.png/220px-Fantagraphics_logo_2020.png,United States,"Books, comic books, magazines",1976,Unkown,Seattle,fantagraphics.com,,,149
150,"Farrar, Straus and Giroux","Douglas and McIntyre (2013) Ltd.  is a Canadian book publishing firm.
",https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Farrar_Straus_Giroux_logo.gif/220px-Farrar_Straus_Giroux_logo.gif,United States,Unknown,1946; 75 years ago (1946),Macmillan Publishers,Equitable Building,"Farrar, Straus and Giroux","10,27","44,108",150
151,Henry Holt and Company,"Dove Medical Press is an academic publisher of open access peer-reviewed scientific and medical journals, with offices in Manchester, London (United Kingdom), Princeton, New Jersey (United States), and Auckland (New Zealand).[1] In September 2017, Dove Medical Press was acquired by the Taylor and Francis Group.[2][3]
",https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Logo_henry_holt.PNG/100px-Logo_henry_holt.PNG,United States,Books,1866; 155 years ago (1866),Georg Von Holtzbrinck Publishing Group,Equitable Building,www.henryholt.com,,,151
152,Fearless Books,"Dover Publications, also known as Dover Books, is an American book publisher founded in 1941 by Hayward Cirker and his wife, Blanche.  It primarily reissues books that are out of print from their original publishers. These are often, but not always, books in the public domain. The original published editions may be scarce or historically significant. Dover republishes these books, making them available at a significantly reduced cost.
",https://upload.wikimedia.org/wikipedia/en/4/4b/FearlessBooks_WebLogo.png,United States,Unknown,1997,Unkown,"Napa, California",www.fearlessbooks.com,,,152
153,Felony & Mayhem Press,"Dreamspinner Press is a Tallahassee, Florida based LGBTQ publisher.[1][2] Dreamspinner Press is an independent publisher, specializing in gay romantic fiction with print, eBook, and audiobook releases, and titles translated in French, German, Italian, Spanish, Japanese, Korean, Thai, Turkish and Hungarian. Titles include content in contemporary, historical, mystery and suspense, science fiction, fantasy and paranormal, steampunk, transgender, Western, and humor genres, along with the house branded lines. In March 2012, a GLBT teen and new adult fiction imprint, Harmony Ink Press,[3] was launched for readers ages 14–21.
",https://upload.wikimedia.org/wikipedia/en/thumb/5/53/F_M-logo-one-line-450_original.png/220px-F_M-logo-one-line-450_original.png,United States,Books,2005,Unkown,New York City,felonyandmayhem.com,,,153
154,Firebrand Books,"Dundurn Press is one of the largest Canadian-owned book publishing companies of adult and children's fiction and non-fiction.[3] The company publishes Canadian literature, history, biography, politics and arts. Dundurn has about 2500 books in print, and averages around one hundred new titles each year.[4] Dundurn Press was established in 1972 by Kirk Howard,[5] In 2009, Dundurn forged a co-publishing partnership with the Ontario Genealogical Society, and in 2011, Dundurn purchased Napoleon & Company and Blue Butterfly Books.[6][7] In 2013, Dundurn acquired Thomas Allen Publishers, the publishing branch of Thomas Allen & Son Limited.[8] Thomas Allen & Son Limited is a Canadian book distributor, and remains Canada's oldest family-owned and operated distributor, having been in continuous operation for over 90 years.[9][10] Its books include Burning Down the House by Russell Wangersky.[11][12]
",-1,United States,Books,[1],Unkown,"Ann Arbor, Michigan",www.firebrandbooks.com,,,154
155,Flame Tree Publishing,"E. P. Dutton was an American book publishing company[clarification needed]. It was founded as a book retailer in Boston, Massachusetts, in 1852[1] by Edward Payson Dutton.
",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Flame-Tree-Publishing-logos_02.jpg/220px-Flame-Tree-Publishing-logos_02.jpg,United Kingdom,Books,1992 (1992),Unkown,London,flametreepublishing.com,,,155
156,Focal Press,"
",https://upload.wikimedia.org/wikipedia/en/7/73/Focal_Press_Logo.png,Unknown,Unknown,1938,Routledge,"Waltham, Massachusetts",www.focalpress.com,,,156
157,Folio Society,"Earthscan is an English-language publisher of books and journals on climate change, sustainable development and environmental technology for academic, professional and general readers.
",https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Folio_Society_logo.jpg/150px-Folio_Society_logo.jpg,United Kingdom,Limited Editions,1947; 74 years ago (1947),Unkown,"4 Maguire Street, London",foliosociety.com,,,157
158,Forum Media Group,"ECW Press is a Canadian book publisher located in Toronto, Ontario.  It was founded by Jack David and Robert Lecker in 1974 as a Canadian literary magazine named Essays on Canadian Writing.  They started publishing trade and scholarly books in 1979.
",https://upload.wikimedia.org/wikipedia/en/thumb/4/4a/FORUM_Media_Group_Logo.png/220px-FORUM_Media_Group_Logo.png,Unknown,Unknown,1988,Unkown,Unknown,Not available,,,158
159,Four Courts Press,"Eel Pie Publishing is a publishing house founded by musician and author Pete Townshend in 1977, and named after Eel Pie Island.[1] It is part of the Eelpie Group of Companies including Eel Pie Recording Production Ltd (renamed Honorable Ltd) which was set up in 1970 by Pete Townshend.[2]
",-1,Unknown,Books,1970,Unkown,"Dublin, Ireland",www.fourcourtspress.ie,,,159
160,Four Walls Eight Windows,"Elliot Stock (1838 - 1 March 1911) was an English publisher and bibliophile who collected first editions.[1] The publishing company that bore his name was in business from 1859 to 1939.[2]
",-1,United States,Books,1987,Unkown,New York City,Not available,,,160
161,"Frederick Fell Publishers, Inc.","Ellora's Cave was an independent erotic fiction publisher. It was launched in 2000, and initially published in e-book only format and later moved into print. Ellora's Cave published in several genres, which included but were not limited to adult romance, erotica, erotica for men, non-fiction, and traditional romance.[1]
",-1,United States,Books,1943,Unkown,"Hollywood, Florida",www.fellpub.com,,,161
162,Frederick Warne & Co,"
",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Frederick_Warne_%26_Co_logo.jpg/200px-Frederick_Warne_%26_Co_logo.jpg,United Kingdom,Unknown,July 1865; 156 years ago (July 1865),Penguin Random House,London,www.penguin.com/meet/publishers/frederickwarne/,,,162
163,Free Press,"
",-1,United States,Unknown,1947,Simon & Schuster,New York,Not available,,,163
164,Funk & Wagnalls,"
",https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Funk_%26_Wagnalls_Company_Logo_%28Hoyt%2C_1922%29.jpg/100px-Funk_%26_Wagnalls_Company_Logo_%28Hoyt%2C_1922%29.jpg,United States,Books,1875,Unkown,Unknown,Not available,,,164
165,G. P. Putnam's Sons,"Etruscan Press is an American publisher founded in 2001 with a grant from the Oristaglio Foundation. [1] Housed at Wilkes University and partnering with Youngstown State University, Etruscan Press is distributed nationally by Consortium Distribution.
",https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Putnam_Logo.png/220px-Putnam_Logo.png,United States,Books,1838; 183 years ago (1838),Penguin Group,New York City,us.penguingroup.com,,,165
166,Gaspereau Press,"The Europa Press was a publishing house founded and run by the Irish surrealist poet George Reavey. The press was based in Paris from its inception in 1932 until 1935, when Reavey moved to London. It ceased operation in 1939.
",-1,Unknown,Unknown,Unknown,Unkown,Unknown,Not available,,,166
167,Gay Men's Press,"Everyman's Library is a series of reprints of classic literature, primarily from the Western canon. It is currently[when?] published in hardback by Random House. It was originally an imprint of J. M. Dent (itself later a division of Weidenfeld & Nicolson and presently an imprint of Orion Books), who continue to publish Everyman Paperbacks.
",https://upload.wikimedia.org/wikipedia/en/f/f9/Gay_Men%27s_Press_logo.png,United Kingdom,Books,1979,Unkown,"London, England",www.gmppubs.co.uk,,,167
168,Gefen Publishing House,"Ewha Womans University Press (이화여자대학교출판부 ) is a book publisher founded in 1949.  
",-1,Israel,Books,[1],Unkown,Jerusalem,www.gefenpublishing.com,,,168
169,George H. Doran Company,"Exact Change is an American independent book publishing company founded in 1989 by Damon Krukowski and Naomi Yang who, outside of their publishing careers, were musicians associated with  Galaxie 500 and Damon and Naomi. The company specialises in re-publishing 19th- and 20th-century avant-garde literature and has published works by John Cage, Salvador Dalí and Denton Welch among many others.[1]
",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/George_H._Doran_Company_logo_2.svg/200px-George_H._Doran_Company_logo_2.svg.png,United States,Books,"February 22, 1908 (February 22, 1908)",Unkown,New York City,Not available,,,169
170,George Newnes,"
",-1,England,periodicals,1891,Odhams Press,Southampton Street,Not available,,,170
171,The Good Book Company,"
",-1,United Kingdom,Books,1991,Unkown,Epsom,www.thegoodbook.com,,,171
172,Good News Publishers,"FabJob is a book publisher based in Calgary, Canada, and Seattle, the United States. It was founded in 1999 by sisters Tag and Catherine Goulet.
",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Crossway.svg/232px-Crossway.svg.png,United States,"ESV Bibles, books, tracts",1938,Unkown,"Wheaton, Illinois",www.crossway.org,,,172
173,Goops Unlimited,"
",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Gelett_Burgess.jpg/220px-Gelett_Burgess.jpg,Unknown,Unknown,Unknown,Unkown,Unknown,Not available,,,173
174,Goose Lane Editions,"Fantagraphics (previously Fantagraphics Books) is an American publisher of alternative comics, classic comic strip anthologies, manga, magazines, graphic novels, and the erotic Eros Comix imprint. Many notable cartoonists have published their work through Fantagraphics, including Jessica Abel, Peter Bagge, Ivan Brunetti, Charles Burns, Daniel Clowes, Mary Fleener, Roberta Gregory, Joe Sacco, Chris Ware, and the Hernandez brothers.
",-1,Canada,Books,1954,Unkown,"Fredericton, New Brunswick",gooselane.com,,,174
175,Graywolf Press,"Farrar, Straus and Giroux (FSG) is an American book publishing company, founded in 1946 by Roger Williams Straus Jr. and John C. Farrar.[3] FSG is known for publishing literary books, and its authors have won numerous awards, including Pulitzer Prizes, National Book Awards, and Nobel Peace Prizes. The publisher is currently a division of Macmillan, whose parent company is the German publishing conglomerate Holtzbrinck Publishing Group.[4]
",https://upload.wikimedia.org/wikipedia/en/7/77/Graywolf_Press_Logo.png,United States,Unknown,1974,Unkown,"Minneapolis, Minnesota",www.graywolfpress.org,,,175
176,Greenery Press,"Henry Holt and Company is an American book-publishing company based in New York City. One of the oldest publishers in the United States, it was founded in 1866 by Henry Holt and Frederick Leypoldt.[2] Currently, the company publishes in the fields of American and international fiction, biography, history and politics, science, psychology, and health, as well as books for children's literature. In the US, it operates under Macmillan Publishers.
",https://upload.wikimedia.org/wikipedia/en/thumb/3/3d/Greenery_Press_Logo.svg/150px-Greenery_Press_Logo.svg.png,United States,Books,1991,Unkown,"Emeryville, California",www.greenerypress.com,,,176
177,Greenleaf Book Group,"Fearless Books is an independent publisher in northern California, founded in 1997 by the author, editor, and literary agent D. Patrick Miller.
",-1,United States,Books,1997,Unkown,"Austin, Texas",www.greenleafbookgroup.com,,,177
178,Greenwillow Books,"Felony & Mayhem Press is an American book publisher which specializes in re-issues of out-of-print mystery novels, first paperback editions of books previously published in hardcover, and U.S. editions of books that initially came out overseas.[1][2] The company is located in New York City and  was founded in June 2005 by Maggie Topkis,[3] co-owner of the Greenwich Village bookstore, Partners and Crime.[2] All Felony & Mayhem imprints are trade paperbacks.[2] The company was called ""the most dastardly local press"" in the Village Voice's Best of New York 2008 issue.[4]
",https://upload.wikimedia.org/wikipedia/en/thumb/0/00/Harpercollins-logo.svg/300px-Harpercollins-logo.svg.png,United StatesUnited Kingdom,Unknown,1989; 32 years ago (1989),News Corp,195 Broadway,harpercollins.com,,,178
179,Greenwood Publishing Group,"Flame Tree Publishing is an independent publisher of books, calendars and other stationery items, based in Fulham, London, United Kingdom with an editorial office in New York. It focuses on art, music, lifestyle and fiction categories. Flame Tree creates content in the form of paper printed encyclopedias, guides and practical books and publishes them in different book, gift, stationery and digital markets worldwide. It has a number of license arrangements with museums, galleries and other licensors, including Tate,[3] V&A[4] and The Royal Academy of Arts.[5] The publisher started releasing e-books and launched a new fantasy, crime and science fiction classics imprint called Flame Tree 451.[6] In 2015 Flame Tree launched a range of deluxe Gothic Fantasy titles combining new stories from open submissions and curated classic writing. In 2018 a new trade imprint fiction imprint called Flame Tree Press[7] began to publish new novels in the horror and suspense, sf and fantasy and crime and mystery genres. 
",-1,United States,Unknown,1967,ABC-Clio,"Santa Barbara, California",www.greenwood.com,,,179
180,Gregg Press,"Focal Press is a publisher of media technology books and it is an imprint of Taylor & Francis. It was founded in 1938 by Andor Kraszna-Krausz,[1] a Hungarian photographer who immigrated to England in 1937 and eventually published over 1,200 books on photography.
",-1,United States,Books,1963,Unkown,"Upper Saddle River, New Jersey",Not available,,,180
181,Grosset & Dunlap,"
",-1,United States,Books,1898,Penguin Group,New York City,us.penguingroup.com,,,181
182,Grove Atlantic,"The FORUM MEDIA GROUP (FMG) is an international media company headquartered near Munich (Germany) with leading professional publishing houses worldwide. In 2017, the FMG achieved a turnover of 110 million Euro[1] and employed more than 1,200 employees in Europe, Asia, North America, and Australia.
",https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Grove-atlantic-logo.jpg/220px-Grove-atlantic-logo.jpg,United States,Books,Unknown,Unkown,"154 W. 14th Street, New York City, NY 10011",groveatlantic.com,,,182
183,Hachette Books,"Four Walls Eight Windows was an independent book publisher in New York City. Known as 4W8W or Four Walls, the company was notable for its dual commitment to progressive politics and adventurous, edgy literary fiction. 
",https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Hachette_Books_logo.svg/220px-Hachette_Books_logo.svg.png,United States,Books,[1],Perseus Books Group,New York City,www.hachettebooks.com,,,183
184,Hachette Book Group USA,"Frederick Warne & Co. is a British publisher founded in 1865. It is famous for children's books, particularly those of Beatrix Potter, and for its Observer's Books, which have gained a cult following.[1][2]
",https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Hachette_Books_logo.svg/220px-Hachette_Books_logo.svg.png,United States,Unknown,"March 31, 2006; 15 years ago (2006-03-31)",Hachette Livre,New York City,www.hachettebookgroup.com,,,184
185,Hackett Publishing Company,"Free Press was an independent book publisher that later became an imprint of Simon & Schuster. It was one of the best-known publishers specializing in serious nonfiction, including path-breaking sociology books of the 1950s, 1960s and 1970s. After a period under new ownership in the 1980s of publishing neoconservative books, it was purchased by Simon & Schuster in 1994. By 2012, the imprint ceased to exist as a distinct entity; however, some books were still being published using the Free Press imprint.[1][2]
",-1,United States,Books,1972,Unkown,Indianapolis,www.hackettpublishing.com,,,185
186,Hamish Hamilton,"Fulcrum Press (1965 – 1974)[1] was founded in London in the mid-1960s by medical student Stuart Montgomery (born 1938, in Rhodesia) and his wife Deirdre. Montgomery later became an eminent psychiatrist and expert in depression. Earning a reputation as the premier small press of the late 1960s to early '70s,[2] Fulcrum published major American and British poets in the modernist and the avant-garde traditions in carefully designed books on good paper.  The Fulcrum Press made a significant contribution to the British Poetry Revival and was one of the best known little presses of the period, recognized for publishing the works of Modernist poets including Ezra Pound, Basil Bunting, Allen Ginsberg and Roy Fisher.[1]
",https://upload.wikimedia.org/wikipedia/en/thumb/2/23/Hamish_Hamilton_%28logo%29.png/220px-Hamish_Hamilton_%28logo%29.png,United Kingdom,Books,1931; 90 years ago (1931),Penguin Random House,London,www.penguin.co.uk,,,186
187,Harbor Mountain Press,"G. P. Putnam's Sons is an American book publisher based in New York City, New York. Since 1996, it has been an imprint of the Penguin Group.[1]
",-1,United States,Books,2006,Unkown,"White River Junction, Vermont",www.harbormountainpress.org,,,187
188,Harcourt Assessment,"G-Unit Books was an American book publishing imprint started by rapper 50 Cent in partnership with MTV/Pocketbooks on January 4, 2007 following a prior relationship with the company dating back to the publication of his memoir in 2005.[1] He launched  G-Unit Books at the Time Warner Building in New York.[2]
",-1,United States,testing materials,1921,Harcourt,Unknown,Not available,,,188
189,Harlequin Enterprises,"Gay Men's Press was a publisher of books based in London, United Kingdom. Founded in 1979, the imprint was run until 2000 by its founders, then until 2006 by Millivres Prowler.[1]
",https://upload.wikimedia.org/wikipedia/en/thumb/1/1c/Harlequin_Enterprises_logo.png/220px-Harlequin_Enterprises_logo.png,Canada,Books,Winnipeg,HarperCollins,Toronto,www.harlequin.com,,,189
190,Harper & Row,"
",https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Harper_and_Brothers_publisher_mark_1895.jpg/220px-Harper_and_Brothers_publisher_mark_1895.jpg,Unknown,Unknown,"March 6, 1817; 204 years ago (1817-03-06) (as J. & J. Harper)",HarperCollins,New York City,Not available,,,190
191,HarperPrism,,https://upload.wikimedia.org/wikipedia/en/thumb/0/00/Harpercollins-logo.svg/300px-Harpercollins-logo.svg.png,United StatesUnited Kingdom,Unknown,1989; 32 years ago (1989),News Corp,195 Broadway,harpercollins.com,,,191
192,HarperTrophy,"
",https://upload.wikimedia.org/wikipedia/en/thumb/0/00/Harpercollins-logo.svg/300px-Harpercollins-logo.svg.png,United StatesUnited Kingdom,Unknown,1989; 32 years ago (1989),News Corp,195 Broadway,harpercollins.com,,,192
193,Harvard University Press,"Good News Publishers, now known by its publishing ministry Crossway, is an evangelical Christian not-for-profit organization headquartered in Wheaton, Illinois.[1] Clyde and Muriel Dennis founded Good News Publishers in 1938, working out of their home in Minneapolis, Minnesota.[2]
",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Harvard_univ_press.svg/220px-Harvard_univ_press.svg.png,United States,Academic publishing,"January 13, 1913 (1913-01-13)",Harvard University,"Cambridge, Massachusetts",www.hup.harvard.edu,,,193
194,Harvest House,"
",https://upload.wikimedia.org/wikipedia/en/thumb/9/95/Harvest_House_logo.jpg/100px-Harvest_House_logo.jpg,United States,Books,1974,Unkown,"Eugene, Oregon",harvesthousepublishers.com,,,194
195,Harvill Press at Random House,"Goose Lane Editions is a Canadian book publishing company founded in 1954 in Fredericton, New Brunswick as Fiddlehead Poetry Books by Fred Cogswell and a group of students and faculty from the University of New Brunswick associated with The Fiddlehead.[2]  After Cogswell retired in 1981, his successor, Peter Thomas, changed the name to Goose Lane Editions. From 1989 to 1997 Douglas Lochhead was president of Goose Lane. It is now headed by publisher and co-owner Susanne Alexander. The Canada Council for the Arts says the publishing company ""has evolved to become one of Canada's most exciting showcases of home-grown literary talent.""[3]
",https://upload.wikimedia.org/wikipedia/en/thumb/b/bc/Random_House_logo.svg/220px-Random_House_logo.svg.png,Unknown,Unknown,1927; 94 years ago (1927),Unkown,Unknown,Not available,,,195
